sample_x	sample_y	correlation
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554664_D12R1VripAligned.counts.txt.gz	0.607204971421898
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554666_D12R3VripAligned.counts.txt.gz	0.553761192937731
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554613_D13R3VvriAligned.counts.txt.gz	0.663712204939634
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554614_D14R1VvriAligned.counts.txt.gz	0.619623103732337
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554616_D14R3VvriAligned.counts.txt.gz	0.56108039351912
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554617_D15R1VvriAligned.counts.txt.gz	0.52190172116357
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554619_D15R3VvriAligned.counts.txt.gz	0.488964011694365
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554564_D16R3VvcsAligned.counts.txt.gz	0.444141579921279
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554558_D14R3VvcsAligned.counts.txt.gz	0.507963324285367
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554565_D17R1VvcsAligned.counts.txt.gz	0.498573747722433
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554615_D14R2VvriAligned.counts.txt.gz	0.517048810274478
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554618_D15R2VvriAligned.counts.txt.gz	0.493805704792074
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554563_D16R2VvcsAligned.counts.txt.gz	0.496435859760816
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554566_D17R2VvcsAligned.counts.txt.gz	0.530264453680212
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554550_D12R1VvcsAligned.counts.txt.gz	0.761466379622926
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554557_D14R2VvcsAligned.counts.txt.gz	0.670727733386458
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554606_D11R2VvriAligned.counts.txt.gz	0.729160270139491
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554607_D11R3VvriAligned.counts.txt.gz	0.668399496751264
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554556_D14R1VvcsAligned.counts.txt.gz	0.688763626822732
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554552_D12R3VvcsAligned.counts.txt.gz	0.683743961906985
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554555_D13R3VvcsAligned.counts.txt.gz	0.686206119423479
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554562_D16R1VvcsAligned.counts.txt.gz	0.643609653390061
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554567_D17R3VvcsAligned.counts.txt.gz	0.691460579808591
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554561_D15R3VvcsAligned.counts.txt.gz	0.751118704573698
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554554_D13R2VvcsAligned.counts.txt.gz	0.890157797693409
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554551_D12R2VvcsAligned.counts.txt.gz	0.810573781776921
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554560_D15R2VvcsAligned.counts.txt.gz	0.830416103957572
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554569_D0R2VvriAligned.counts.txt.gz	0.454119643704224
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554568_D0R1VvriAligned.counts.txt.gz	0.473437628143663
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554570_D0R3VvriAligned.counts.txt.gz	0.454511188173424
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554512_D0R3VvcsAligned.counts.txt.gz	0.465782667216777
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554510_D0R1VvcsAligned.counts.txt.gz	0.493385019236435
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554511_D0R2VvcsAligned.counts.txt.gz	0.49522268431832
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554515_D1R3VvcsAligned.counts.txt.gz	0.557468367919317
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554518_D2R3VvcsAligned.counts.txt.gz	0.609419640940072
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554513_D1R1VvcsAligned.counts.txt.gz	0.533698617817794
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554514_D1R2VvcsAligned.counts.txt.gz	0.572979615799754
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554574_D2R1VvriAligned.counts.txt.gz	0.620180544070474
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554579_D3R3VvriAligned.counts.txt.gz	0.637362439767411
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554575_D2R2VvriAligned.counts.txt.gz	0.624769739331204
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554576_D2R3VvriAligned.counts.txt.gz	0.645708795010768
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554571_D1R1VvriAligned.counts.txt.gz	0.570250992625878
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554572_D1R2VvriAligned.counts.txt.gz	0.501478698691564
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554573_D1R3VvriAligned.counts.txt.gz	0.498422409172121
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554605_D11R1VvriAligned.counts.txt.gz	0.826290506864619
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554584_D4R5VvriAligned.counts.txt.gz	0.708441690292991
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554541_D8R3VvcsAligned.counts.txt.gz	0.781565824055042
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554539_D8R1VvcsAligned.counts.txt.gz	0.751188325719929
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554591_D7R1VvriAligned.counts.txt.gz	0.757906597139943
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554578_D3R2VvriAligned.counts.txt.gz	0.651311564266958
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554577_D3R1VvriAligned.counts.txt.gz	0.658712198837377
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554580_D4R1VvriAligned.counts.txt.gz	0.687697622932562
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554592_D7R2VvriAligned.counts.txt.gz	0.726839012877945
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554526_D5R1VvcsAligned.counts.txt.gz	0.689187854928887
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554529_D5R4VvcsAligned.counts.txt.gz	0.696433156512574
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554587_D6R1VvriAligned.counts.txt.gz	0.717916523376648
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554590_D6R4VvriAligned.counts.txt.gz	0.724602366644885
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554527_D5R2VvcsAligned.counts.txt.gz	0.704299682857511
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554593_D7R3VvriAligned.counts.txt.gz	0.713889347481551
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554588_D6R2VvriAligned.counts.txt.gz	0.696647070830857
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554589_D6R3VvriAligned.counts.txt.gz	0.694841544297537
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554595_D8R2VvriAligned.counts.txt.gz	0.823817842170129
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554543_D9R2VvcsAligned.counts.txt.gz	0.839897549803899
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554535_D7R1VvcsAligned.counts.txt.gz	0.770680631622098
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554594_D8R1VvriAligned.counts.txt.gz	0.837968986180767
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554597_D8R4VvriAligned.counts.txt.gz	0.825578959370743
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554523_D4R2VvcsAligned.counts.txt.gz	0.703761646313132
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554596_D8R3VvriAligned.counts.txt.gz	0.774180727075873
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554531_D6R1VvcsAligned.counts.txt.gz	0.716765778815641
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554534_D6R4VvcsAligned.counts.txt.gz	0.732868628021432
GSM3554545_D10R2VvcsAligned.counts.txt.gz	GSM3554519_D3R1VvcsAligned.counts.txt.gz	0.641984368160385
