dataset	sample_id	module_color	projected_module_score	sample_index	dataset_short
GSE273240	Deac3_3d_tetralone-ABA_rep1	blue	-0.45709463517449	20	273240
GSE273240	Deac3_3d_tetralone-ABA_rep2	blue	0.256335647491425	34	273240
GSE273240	Deac3_3d_tetralone-ABA_rep3	blue	0.294785198400516	39	273240
GSE273240	Deac3_5d_Control_rep1	blue	-1.73903590504848	12	273240
GSE273240	Deac3_5d_Control_rep2	blue	-1.8038050428418	10	273240
GSE273240	Deac3_5d_Control_rep3	blue	-1.99143802474156	8	273240
GSE273240	Deac3_5d_tetralone-ABA_rep1	blue	-0.813804306967162	18	273240
GSE273240	Deac3_5d_tetralone-ABA_rep2	blue	-0.512492836394092	19	273240
GSE273240	Deac3_5d_tetralone-ABA_rep3	blue	-0.878534052604685	17	273240
GSE273240	Deac3_7d_Control_rep1	blue	-2.44564872170155	3	273240
GSE273240	Deac3_7d_Control_rep2	blue	-1.90750604508981	9	273240
GSE273240	Deac3_7d_Control_rep3	blue	0.404563665667498	48	273240
GSE273240	Deac3_7d_tetralone-ABA_rep1	blue	-2.43138755319051	4	273240
GSE273240	Deac3_7d_tetralone-ABA_rep2	blue	-1.77173930715772	11	273240
GSE273240	Deac3_7d_tetralone-ABA_rep3	blue	0.119812833041581	29	273240
GSE273240	Deac3_14d_Control_rep1	blue	-2.3335092771208	6	273240
GSE273240	Deac3_14d_Control_rep2	blue	-2.37030346583816	5	273240
GSE273240	Deac3_14d_Control_rep3	blue	-2.28952606313255	7	273240
GSE273240	Deac3_14d_tetralone-ABA_rep1	blue	-2.46133440195909	2	273240
GSE273240	Deac3_14d_tetralone-ABA_rep2	blue	-2.47907676062647	1	273240
GSE273240	Deac3_14d_tetralone-ABA_rep3	blue	-1.42959722629148	13	273240
GSE273240	Deac1_0d_Control_rep1	turquoise	-0.193868435356397	84	273240
GSE273240	Deac1_0d_Control_rep2	turquoise	-0.37716040304395	80	273240
GSE273240	Deac1_0d_Control_rep3	turquoise	-0.417400517327964	82	273240
GSE273240	Deac1_0d_tetralone-ABA_rep1	turquoise	-0.379776509176448	46	273240
GSE273240	Deac1_0d_tetralone-ABA_rep2	turquoise	-0.335202180051993	47	273240
GSE273240	Deac1_0d_tetralone-ABA_rep3	turquoise	-0.387020759386365	32	273240
GSE273240	Deac1_3d_Control_rep1	turquoise	-0.283261726428963	44	273240
GSE273240	Deac1_3d_Control_rep2	turquoise	-0.298820135140544	49	273240
GSE273240	Deac1_3d_Control_rep3	turquoise	-0.279005714912038	68	273240
GSE273240	Deac1_3d_tetralone-ABA_rep1	turquoise	-0.375801159164114	55	273240
GSE273240	Deac1_3d_tetralone-ABA_rep2	turquoise	-0.199121224679494	64	273240
GSE273240	Deac1_3d_tetralone-ABA_rep3	turquoise	-0.322642670332793	50	273240
GSE273240	Deac1_5d_Control_rep1	turquoise	-0.375562180531015	36	273240
GSE273240	Deac1_5d_Control_rep2	turquoise	-0.410175219847694	31	273240
GSE273240	Deac1_5d_Control_rep3	turquoise	-0.367414268145074	30	273240
GSE273240	Deac1_5d_tetralone-ABA_rep1	turquoise	1.05551864975634	14	273240
GSE273240	Deac1_5d_tetralone-ABA_rep2	turquoise	-0.166249011164269	33	273240
GSE273240	Deac1_5d_tetralone-ABA_rep3	turquoise	-0.398780728846194	35	273240
GSE273240	Deac1_7d_Control_rep1	turquoise	-0.557768277646436	54	273240
GSE273240	Deac1_7d_Control_rep2	turquoise	-0.698555073196099	67	273240
GSE273240	Deac1_7d_Control_rep3	turquoise	-0.492934223025132	38	273240
GSE273240	Deac1_7d_tetralone-ABA_rep1	turquoise	-0.609199591450897	77	273240
GSE273240	Deac1_7d_tetralone-ABA_rep2	turquoise	-0.432626292955079	78	273240
GSE273240	Deac1_7d_tetralone-ABA_rep3	turquoise	-0.42983659332123	75	273240
GSE273240	Deac1_14d_Control_rep1	turquoise	-0.293744557841607	24	273240
GSE273240	Deac1_14d_Control_rep2	turquoise	-0.444449285796688	28	273240
GSE273240	Deac1_14d_Control_rep3	turquoise	-0.553966690277358	40	273240
GSE273240	Deac1_14d_tetralone-ABA_rep1	turquoise	-0.562597502223572	43	273240
GSE273240	Deac1_14d_tetralone-ABA_rep2	turquoise	-0.516902172913107	63	273240
GSE273240	Deac1_14d_tetralone-ABA_rep3	turquoise	-0.613991859216467	42	273240
GSE273240	Deac2_0d_Control_rep1	turquoise	-1.27418178994543	88	273240
GSE273240	Deac2_0d_Control_rep2	turquoise	-1.30455730254742	89	273240
GSE273240	Deac2_0d_Control_rep3	turquoise	-1.29005855338331	85	273240
GSE273240	Deac2_0d_tetralone-ABA_rep1	turquoise	-1.50700060729934	86	273240
GSE273240	Deac2_0d_tetralone-ABA_rep2	turquoise	-1.45102715016469	90	273240
GSE273240	Deac2_0d_tetralone-ABA_rep3	turquoise	-0.98982926632125	87	273240
GSE273240	Deac2_3d_tetralone-ABA_rep1	turquoise	-0.57525445768054	41	273240
GSE273240	Deac2_3d_tetralone-ABA_rep2	turquoise	-0.702413297065812	66	273240
GSE273240	Deac2_3d_tetralone-ABA_rep3	turquoise	-0.884792790726748	79	273240
