accession	label	sample_accession	matrix_column	sample_title	tissue	organism	genotype	short_genotype	time	time_unit	replicate	treatment	experiment	library_size	detected_genes	qc_status	qc_reason
GSE273240	tetralone_ABA	GSM8424766	Deac1_14d_tetralone-ABA_rep2	Deac1_14d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	14	day	2	tetralone-ABA	Deac1	2079259	18698	pass	
GSE273240	tetralone_ABA	GSM8424767	Deac1_14d_tetralone-ABA_rep3	Deac1_14d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	14	day	3	tetralone-ABA	Deac1	1732191	18081	pass	
GSE273240	tetralone_ABA	GSM8424768	Deac2_0d_Control_rep1	Deac2_0d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	0	day	1	Control	Deac2	1887699	18547	pass	
GSE273240	tetralone_ABA	GSM8424769	Deac2_0d_Control_rep2	Deac2_0d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	0	day	2	Control	Deac2	2121826	18609	pass	
GSE273240	tetralone_ABA	GSM8424770	Deac2_0d_Control_rep3	Deac2_0d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	0	day	3	Control	Deac2	1632404	17855	pass	
GSE273240	tetralone_ABA	GSM8424771	Deac2_0d_tetralone-ABA_rep1	Deac2_0d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	0	day	1	tetralone-ABA	Deac2	2334547	18284	pass	
GSE273240	tetralone_ABA	GSM8424772	Deac2_0d_tetralone-ABA_rep2	Deac2_0d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	0	day	2	tetralone-ABA	Deac2	3227635	17571	pass	
GSE273240	tetralone_ABA	GSM8424773	Deac2_0d_tetralone-ABA_rep3	Deac2_0d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	0	day	3	tetralone-ABA	Deac2	2645860	17892	pass	
GSE273240	tetralone_ABA	GSM8424774	Deac2_3d_tetralone-ABA_rep1	Deac2_3d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	3	day	1	tetralone-ABA	Deac2	1830831	17990	pass	
GSE273240	tetralone_ABA	GSM8424775	Deac2_3d_tetralone-ABA_rep2	Deac2_3d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	3	day	2	tetralone-ABA	Deac2	2045012	17853	pass	
GSE273240	tetralone_ABA	GSM8424776	Deac2_3d_tetralone-ABA_rep3	Deac2_3d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	3	day	3	tetralone-ABA	Deac2	2306607	18392	pass	
GSE273240	tetralone_ABA	GSM8424777	Deac2_3d_Control_rep1	Deac2_3d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	3	day	1	Control	Deac2	2007626	18226	pass	
GSE273240	tetralone_ABA	GSM8424778	Deac2_3d_Control_rep2	Deac2_3d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	3	day	2	Control	Deac2	2172978	18696	pass	
GSE273240	tetralone_ABA	GSM8424779	Deac2_3d_Control_rep3	Deac2_3d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	3	day	3	Control	Deac2	1646831	18174	pass	
GSE273240	tetralone_ABA	GSM8424780	Deac2_5d_Control_rep1	Deac2_5d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	5	day	1	Control	Deac2	1846940	18465	pass	
GSE273240	tetralone_ABA	GSM8424781	Deac2_5d_Control_rep2	Deac2_5d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	5	day	2	Control	Deac2	2618342	18671	pass	
