matrix_column	sample_accession	matched
T1_2_1	GSM8531081	true
T1_2_2	GSM8531082	true
T1_2_3	GSM8531083	true
T1_5_1	GSM8531084	true
T1_5_2	GSM8531085	true
T1_5_3	GSM8531086	true
T1_10_1	GSM8531087	true
T1_10_2	GSM8531088	true
T1_10_3	GSM8531089	true
T2_2_1	GSM8531090	true
T2_2_2	GSM8531091	true
T2_2_3	GSM8531092	true
T2_5_1	GSM8531093	true
T2_5_2	GSM8531094	true
T2_5_3	GSM8531095	true
T2_10_1	GSM8531096	true
T2_10_2	GSM8531097	true
T2_10_3	GSM8531098	true
T3_2_1	GSM8531099	true
T3_2_2	GSM8531100	true
T3_2_3	GSM8531101	true
T3_5_1	GSM8531102	true
T3_5_2	GSM8531103	true
T3_5_3	GSM8531104	true
T3_10_1	GSM8531105	true
T3_10_2	GSM8531106	true
T3_10_3	GSM8531107	true
