gene_id	tf_family	module_color	scenario	delta_blue_mean	delta_turquoise_mean	forest_alignment_mean	global_effect_rms_z
Vitvi08g00761	G2-like	blue	KO	-0.0152768896237579	0.0541911106173079	0.0491212940459263	0.0576073105379716
Vitvi13g00639	HD-ZIP	blue	OE1SD	-0.0286117576354367	0.014485934885535	0.0304746706350718	0.0371858524236405
Vitvi05g00053	ERF	turquoise	OE1SD	-0.0136684143032823	0.0282956641843167	0.0296730844648258	0.0373758064593172
Vitvi13g00563	AP2	turquoise	KO	-0.032903446775915	0.00838520169504816	0.0291954833198456	0.0406746352982743
Vitvi13g00639	HD-ZIP	blue	KO	0.037342681319215	-0.0121453142793466	-0.034993297275073	0.0500684276048904
