index	cultivar	condition	time_index	module_color	mean	std	count	sem
0	Brianna	Controlled_4C	0	blue	0.336324832641616	0.123538780412928	3	0.071325148126762
2	Brianna	Controlled_4C	0	turquoise	-0.749978768946382	0.142245609221259	3	0.0821255407749362
3	Brianna	Controlled_4C	1	blue	0.357513074742221	0.0609222637527026	3	0.0351734853772643
5	Brianna	Controlled_4C	1	turquoise	-0.621688577229034	0.228395669987315	3	0.131864301548921
6	Brianna	Controlled_4C	2	blue	0.0224633003449508	0.227171383950496	3	0.131157459675999
8	Brianna	Controlled_4C	2	turquoise	-0.529479298697101	0.263796715951332	3	0.152303104965841
9	Brianna	Controlled_4C	3	blue	-1.9909126009382	0.259310549486339	3	0.149713015549648
11	Brianna	Controlled_4C	3	turquoise	1.79875788244091	0.472101509625348	3	0.272567933667023
12	Brianna	Controlled_4C	4	blue	-2.32267610111524	0.293064332946103	3	0.16920077151631
14	Brianna	Controlled_4C	4	turquoise	2.20243716774384	0.377714554520758	3	0.218073599729399
15	Brianna	Natural	0	blue	-0.00100266988374166	0.166610754349533	3	0.0961927638735895
17	Brianna	Natural	0	turquoise	0.136110383118028	0.185546390728155	3	0.107125258634064
18	Brianna	Natural	1	blue	0.527755533345629	0.135611290366025	3	0.0782952149979772
20	Brianna	Natural	1	turquoise	-0.330318152043523	0.138050068824719	3	0.0797032443975981
21	Brianna	Natural	2	blue	0.418926769248765	0.139569801957952	3	0.0805806627311665
23	Brianna	Natural	2	turquoise	-0.548118574711778	0.104297420563192	3	0.0602161438379428
24	Brianna	Natural	3	blue	0.667149017563074	0.105927168309289	3	0.0611570791378626
26	Brianna	Natural	3	turquoise	-0.635746824224197	0.0949836060827689	3	0.054838810540488
27	Brianna	Natural	4	blue	0.82571349069222	0.109760955064205	3	0.0633705169528291
29	Brianna	Natural	4	turquoise	-0.66104749077758	0.150560960357951	3	0.0869264109921119
30	Marquette	Controlled_4C	0	blue	0.337969989358515	0.0587490341070419	3	0.0339187706563311
32	Marquette	Controlled_4C	0	turquoise	-0.527139479779056	0.0791065453166659	3	0.0456721852332384
33	Marquette	Controlled_4C	1	blue	0.605145655846308	0.306451414091552	3	0.176929806419299
35	Marquette	Controlled_4C	1	turquoise	-0.740188575313798	0.0815218899816481	3	0.0470666851257516
36	Marquette	Controlled_4C	2	blue	-0.0322780354125112	0.258596637768667	3	0.149300838427272
38	Marquette	Controlled_4C	2	turquoise	0.0654746981754866	0.227288842180598	3	0.131225274216766
39	Marquette	Controlled_4C	3	blue	-1.22734039731759	0.167310038162818	3	0.0965964955714296
41	Marquette	Controlled_4C	3	turquoise	1.46624848522819	0.270233441238649	3	0.156019350043173
42	Marquette	Controlled_4C	4	blue	-1.91745433454172	0.28998873836478	3	0.167425076156866
44	Marquette	Controlled_4C	4	turquoise	2.0435588931164	0.472089363161489	3	0.272560920902845
45	Marquette	Natural	0	blue	0.696019123401787	0.163640455620108	3	0.0944778611025823
47	Marquette	Natural	0	turquoise	-0.606263068845165	0.246581098928803	3	0.142363663843618
48	Marquette	Natural	1	blue	0.594794015443057	0.0705396138938291	3	0.0407260650701345
50	Marquette	Natural	1	turquoise	-0.511752032131918	0.323505247809373	3	0.186775841906998
51	Marquette	Natural	2	blue	0.592446847874635	0.116391413469411	3	0.0671986138979252
53	Marquette	Natural	2	turquoise	-0.444532126497359	0.11291610686217	3	0.0651921446927182
54	Marquette	Natural	3	blue	0.905402607188435	0.116433299272557	3	0.067222796677647
56	Marquette	Natural	3	turquoise	-0.391651281873148	0.0757096955670477	3	0.0437110131158996
57	Marquette	Natural	4	blue	0.604039881517782	0.152990032782117	3	0.088328836610085
59	Marquette	Natural	4	turquoise	-0.414683258752825	0.110056420874762	3	0.0635411042180905
