accession	label	sample_accession	matrix_column	sample_title	tissue	organism	genotype	short_genotype	time	time_unit	replicate	treatment	experiment	library_size	detected_genes
GSE184114	Acclimation	GSM5578129	Acclimation_ABA_24_4	Sample 64_Acclimation_ABA_24_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	4	ABA	Acclimation	2117667	17580
GSE184114	Acclimation	GSM5578130	Acclimation_Control_48_1	Sample 65_Acclimation_Control_48_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	1	Control	Acclimation	1898426	17732
GSE184114	Acclimation	GSM5578131	Acclimation_Control_48_2	Sample 66_Acclimation_Control_48_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	2	Control	Acclimation	1909682	17595
GSE184114	Acclimation	GSM5578132	Acclimation_Control_48_3	Sample 67_Acclimation_Control_48_3	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	3	Control	Acclimation	2143479	17971
GSE184114	Acclimation	GSM5578133	Acclimation_Control_48_4	Sample 68_Acclimation_Control_48_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	4	Control	Acclimation	2077040	17626
GSE184114	Acclimation	GSM5578134	Acclimation_ABA_48_1	Sample 69_Acclimation_ABA_48_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	1	ABA	Acclimation	1813994	17310
GSE184114	Acclimation	GSM5578135	Acclimation_ABA_48_2	Sample 70_Acclimation_ABA_48_2	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	2	ABA	Acclimation	2119329	17712
GSE184114	Acclimation	GSM5578136	Acclimation_Control_2_1	Sample 71_Acclimation_Control_2_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	2	hour	1	Control	Acclimation	2355218	18830
GSE184114	Acclimation	GSM5578137	Acclimation_ABA_24_1	Sample 72_Acclimation_ABA_24_1	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	24	hour	1	ABA	Acclimation	1964131	18049
GSE184114	Acclimation	GSM5578138	Acclimation_ABA_48_3	Sample 73_Acclimation_ABA_48_3	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	3	ABA	Acclimation	2163955	18145
GSE184114	Acclimation	GSM5578139	Acclimation_ABA_48_4	Sample 74_Acclimation_ABA_48_4	leaf	Vitis vinifera	Cabernet Franc	Cabernet Franc	48	hour	4	ABA	Acclimation	2407062	18377
