omitted_variety	reference_module	resampled_module	reference_size	resampled_size	overlap	jaccard	recovery_fraction	odds_ratio	fisher_p	fisher_fdr	passes_jaccard_0_5
Vamu	blue	blue	1045	1361	1010	0.723495702005731	0.966507177033493	295.728286802486	0	0	TRUE
Vamu	turquoise	turquoise	2333	2236	2202	0.930291508238276	0.943849121303043	1294.34647738758	0	0	TRUE
Vamu	brown	brown	680	513	345	0.406839622641509	0.507352941176471	25.4154981166685	3.97325316535739e-207	4.3344579985717e-207	FALSE
Vvcs	blue	blue	1045	1312	1018	0.760268857356236	0.974162679425837	468.260790574716	0	0	TRUE
Vvcs	turquoise	turquoise	2333	2438	2292	0.924566357402178	0.982426060865838	960.601248137153	0	0	TRUE
Vvcs	brown	brown	680	443	347	0.447164948453608	0.510294117647059	45.7733843455286	3.0944719107233e-247	3.71336629286796e-247	FALSE
Vvri	blue	blue	1045	1244	1015	0.796703296703297	0.971291866028708	551.241137234408	0	0	TRUE
Vvri	turquoise	turquoise	2333	2485	2308	0.919521912350598	0.989284183454779	1256.53110960868	0	0	TRUE
Vvri	brown	brown	680	497	256	0.277958740499457	0.376470588235294	10.2106178354759	1.0410698530111e-105	1.0410698530111e-105	FALSE
Vrip	blue	blue	1045	1102	944	0.784704904405653	0.903349282296651	223.270708093486	0	0	TRUE
Vrip	turquoise	turquoise	2333	2367	2275	0.938144329896907	0.975139305615088	1096.61850302443	0	0	TRUE
Vrip	brown	brown	680	591	450	0.548112058465286	0.661764705882353	57.9585435110233	0	0	TRUE
